songs,artists,lyrics,length
Dynamite,Taio Cruz,"came dance, dance, dance, dance (yeah) hit floor 'cause that's plans, plans, plans, plan (yeah) i'm wearing favorite brands, brands, brands, brand (yeah) give space hands, hands, hands, hands, yeah, yeah 'cause go go on, yeah throw hand air sometimes sayin' ""ayo, gotta let go"" wanna celebrate live life sayin' ""ayo, baby, let's go"" 'cause gon' rock club gon' go night gon' light like dynamite 'cause told told twice gon' light like dynamite might also like came move, move, move, move (yeah) get way crew, crew, crew, crew (yeah) i'm club i'm gonna do, do, do, (yeah) fuck, came do, do, do, (yeah) yeah, yeah 'cause go go on, yeah throw hand air sometimes sayin' ""ayo, gotta let go"" wanna celebrate live life sayin' ""ayo, baby, let's go"" 'cause gon' rock club gon' go night gon' light like dynamite 'cause told told twice gon' light like dynamite i'm gonna take all, i'm gonna last one standing higher overall, i'm gonna last one landing 'cause i, i, believe i, i, i, want want i'm gonna put hand air hands, hand air put yo' hand air throw hand air sometimes sayin' ""ayo, gotta let go"" wanna celebrate live life sayin' ""ayo, baby, let's go"" 'cause gon' rock club gon' go night gon' light like dynamite 'cause told told twice gon' light like dynamite22embed",1820
No Hands,Waka Flocka Flame,"listen track, bitch! girl, way moving got trance (yeah) dj, turn up, ladies, jam (come on) i'ma sip moscato, gon' lose pant (ooh) i'ma throw money hand (l'eggo) girl, drop floor (yeah) love way booty go (come on) wanna sit back watch move waka, waka, waka, waka, flocka, yeah! i'll proceed throw cash (l'eggo) ass, jean wale beat? roscoe skeet? long hair, care, walk, get stare brown-skin yellow bone, dj, favorite song i'ma make thunderstorm, flood warning, flocka, yeah blow it, fuck it, care, jackson flying everywhere tap partner roscoe, like, ""bruh, i'm drunk hell, can't tell? threw 70 bands, bet 50 stacks, oh fucking well i'm tryna hit hotel two girl swallow take dick swallow, pink moscato got freaky hey, got trance (damn), please take pant pussy pop handstand, got sweating please pas fan, damn might also like girl, way moving got trance (yeah) dj, turn up, ladies, jam (come on) i'ma sip moscato, gon' lose pant (ooh) i'ma throw money hand (l'eggo) girl, drop floor (yeah) love way booty go (come on) wanna sit back watch move (ooh) ayy, ayy, wale i'll proceed throw cash (l'eggo) said, ""look, ma, hands"" said, ""look, ma, hands"", no, darling, dance i'm roscoe, i'm waka, think deserve chance i'm bad motherfucker, go ask motherfucker young handsome motherfucker sling wood, nunchuck with? what's name? hip? boo, i'm wale d.c. shit, rep day eye red cause haze blow high, let shine drumma beat, let take time nigga want beef? take outside fight broad? hoe ain't mine mind? league sweat bitches, sweat weave wear tracks, let thing got sixteen roscoe thing i'm almost done, let get back whole lotta loud lil' backwood whole lotta money, big tip, would put train, little engine could, bitch girl, way moving got trance (yeah) dj, turn up, ladies, jam (come on) i'ma sip moscato, gon' lose pant (ooh) i'ma throw money hand (l'eggo) girl, drop floor (yeah) love way booty go (come on) wanna sit back watch move (ooh) i'll proceed throw cash (roscoe dash, okay, l'eggo!) ok, r-o-s-c-o-e (o-e), mr. shawty-put-it-on-me (please) going ham (ham), shawty upgrade bologna (please) nigga tipping good, girl, make flood (i can) 'cause walk around pocket (pockets) bigger bus (whoa) ""rain, rain, go away""—that's hater say pocket stuck overload (whoa), rain never evaporates (no) need elaborate (never), duck exaggerate (they do) i'ma get money, nigga, everyday stunting, nigga duck might get chance (go) bitch, i'm balling like i'm coming free throw (yes) ahead game, cheat code (no) lambo, roscoe, street code (skrt!) booty got lost like nemo (go) go, go, go, g— go'n' dance (right now) i'ma throw money hands, go (i'm gone!) girl, way moving got trance (yeah) dj, turn up, ladies, jam (come on) i'ma sip moscato, gon' lose pant (ooh) i'ma throw money hand (l'eggo) girl, drop floor (yeah) love way booty go (come on) wanna sit back watch move (ooh) i'll proceed throw cash (l'eggo!)60embed",4107
I Wanna Go,Britney Spears,"lately, i've stuck imagining wanna really think time blow little inappropriate 'cause know everybody's thinking light's shame need release un-un-uncontrollably i-i-i wanna go-oh-oh way-ay-ay taking freak tonight i-i-i wanna sho-o-ow di-i-irt got running mind, woah i-i-i wanna go-oh-oh way-ay-ay taking freak tonight i-i-i wanna sho-o-ow di-i-irt got running mind, woah lately, people got tied there's countdown waiting erupt time blow i've told keep hand blanket light's might also like shame need release un-un-uncontrollably i-i-i wanna go-oh-oh way-ay-ay taking freak tonight i-i-i wanna sho-o-ow di-i-irt got running mind, woah i-i-i wanna go-oh-oh way-ay-ay taking freak tonight i-i-i wanna sho-o-ow di-i-irt got running mind, woah sh-sh-sh-sh-sh-sh-shame (shame me) need release (to need release) un-un-un-uncontrollably (uncontrollably, -lably, -lably, -lably...) i-i-i wanna go-oh-oh (i wanna go...) way-ay-ay taking freak tonight i-i-i wanna sho-o-ow (i wanna show...) di-i-irt got running mind i-i-i wanna go-oh-oh way-ay-ay taking freak tonight i-i-i wanna sho-o-ow di-i-irt got running mind, woah14embed",1528
I'm on One,DJ Khaled,"get 'em (i'm one) get 'em (fuck it, i'm one) get 'em (i said, ""i'm one"") dj khaled (uh) i'm gettin' throwed ain't went hard since eighteen apologize say anything mean like, ""what's best friend? could fun, believe me"" and, ""what's new niggas? why'd think come easy?"" get here, boy 'cause hype don’t feel next year, boy yeah, i'll right spot little cash already got trippin' 'cause shot skin tan hair long fan patient 40 back work, still smell like vacation hate rumors, hate bullshit, hate fuckin' allegation i'm feelin' like throne takin' (watch take it) care money city i'm i'ma sip feel it, i'ma smoke 'til done really give fuck excuse i'm young i'm gettin' older, somebody told might also like i'm one, yeah fuck it, i'm one, yeah said, ""i'm one"" fuck it, i'm one two white cup got drink could purple could pink 'pendin' mix shit money got i'ma get shit 'cause i'm one said, ""fuck it, i'm one"" huh, i'm burnin' purple flowers, burnin' chest (huh) bury cash burnin' rest (stuntin') walkin' clouds, suspended thin air (yeah) one beneath recognize red bottom wear (check it) burner belt, move kid hill (boss) bend shawty sink, thrill kiss neck tell you, ""everything great"" (right) even though i'm bond might facing eight still runnin' nigga 'til death never seen million cash, gotta count carefully (ha-ha) ever made love woman dream (woo) room full money london screams? (woo) huh, baby, could take call marc jacob personally make pair yeah, one, feelin' ain’t fair (khaled) double m-g 'til get chair, chyeah care money city i'm (huh) i'ma sip feel it, i'ma smoke 'til done really give fuck excuse i'm young i'm gettin' older, somebody told i'm one, yeah fuck it, i'm one, yeah said ""i'm one"" fuck it, i'm one two white cup got drink could purple could pink 'pendin' mix shit money got i'ma get shit 'cause i'm one said, ""fuck it, i'm one"" walk around club, fuck everybody nigga got heat, feel like pat riley yeah, much money ain't enough money know fed listenin'; nigga, money? i'm maid nigga, dust somethin' nigga bench, like bus comin' huh, ain't nothin' sweet swishers i'm focused, might well say, ""cheese"" picture ohh, i'm go andre giant sellout, ain't buyin' chopper dissect nigga like science put end world like mayan celebration, bitches; mazel tov slim chance fall; olive oyl tunechi name, ask got i'm killin' hoes, swear i'm tryna stop violence care money (yeah) city i'm i'ma sip feel it, i'ma smoke 'til done really give fuck excuse i'm young i'm gettin' older, somebody told i'm one, yeah (young mula, baby) fuck it, i'm one (ymcmb) yeah, said, ""i'm one"" (uh-huh) fuck it, i'm one two white cup got drink could purple could pink 'pendin' mix shit money got i'ma get shit 'cause i'm one (ha-ha) said, ""fuck it, i'm one"" get 'em get 'em get 'em dj khaled 92embed",4042
You Make Me Feel...,Cobra Starship,"la-la-la-la-la la-la-la-la-la la-la-la-la-la la-la-la-la-la girl, i've world looking i'm known taking think deserve overdue listen, hear radio bright white noise missin' life, dreamin' girl, girl everything want, let get i'm baddest, baby, atmosphere tell want like make feel la-la-la-la-la make feel la-la-la-la-la make feel la-la-la-la-la make feel la-la-la-la-la you, make feel, oh might also like get little closer me, girl understand 'cause want guy know need well, i'm man listen, hear radio bright white noise missin' life, dreamin' girl, girl everything want, let get i'm baddest, baby, atmosphere tell want like (oh-oh-oh) everything know, flip upside take around world, know like loud tell want, 'cause like make feel la-la-la-la-la make feel la-la-la-la-la make feel la-la-la-la-la make feel la-la-la-la-la you, make feel la-la-la-la-la make feel la-la-la-la-la make feel la-la-la-la-la make feel la-la-la-la-la put hand up, put hand let light drop, let light drop make world stop, make world stop la-la-la-la-la la-la-la-la-la make feel la-la-la-la-la make feel la-la-la-la-la (la-la-la-la-la) make feel la-la-la-la-la make feel la-la-la-la-la (oh, make feel good) make feel la-la-la-la-la (oh, make feel good) make feel la-la-la-la-la (oh, make feel good) make feel la-la-la-la-la (oh, make feel good) make feel la-la-la-la-la11embed",2179
Yeah 3x,Chris Brown,"move body floor put trouble aside start living anybody let go throw away problem 'cause right party time girl, feel outta place 'cause i'm love feeling i, i, hope last make last love drink? (yeah), (yeah) get bottle (yeah), bring 'em (yeah) hold glass up, people everywhere everybody put hand air say yeah, yeah, yeah girl, wanna, yeah, yeah, yeah wanna see tonight yeah, yeah, yeah girl, gotta, yeah, yeah, yeah gotta, gotta, gotta see tonight might also like oh-oh-oh, oh-woah-oh-oh (hands) oh-oh-oh, let see hand oh-oh-oh, oh-woah-oh-oh (hands) oh-oh-oh, tonight night lost moment, can't believe beautiful, feel like i'm dream baby, we're going somewhere never take hand come girl, feel outta place 'cause i'm love feeling i, i, hope last make last love drink? (yeah, drink), (yeah) get bottle (yeah), bring 'em (yeah, bring 'em me) hold glass (yeah), people everywhere everybody put hand air say yeah, yeah, yeah (yeah) girl, wanna, yeah, yeah, yeah wanna see tonight (oh, ooh yeah) yeah, yeah, yeah girl, gotta, yeah, yeah, yeah gotta, gotta, gotta see tonight oh-oh-oh, oh-woah-oh-oh (hands, yeah) oh-oh-oh, let see hand oh-oh-oh, oh-woah-oh-oh (hands) oh-oh-oh (tonight), tonight night pretty young thing party, let see hand mad wanna party, tell 'em shut fuck dj, turn loud watch turn worry 'bout it, party jump, jump, jump, jump girl, wanna wanna see tonight yeah, yeah girl, gotta gotta, gotta, gotta see tonight yeah, yeah, yeah yeah, yeah, yeah, wanna see tonight yeah, yeah, yeah yeah, yeah, yeah, tonight night tonight night tonight night16embed",2165
Moment 4 Life,Nicki Minaj,"fly star sky longer trying survive believe life prize live mean alive worry 'bout fire get desire, empire yes, call shots, umpire sprinkle holy water upon vampire moment, i'm king moment, slay goliath sling moment, bring put everything retire ring retire crown, yes no, i'm lucky, i'm blessed, yes clap heavyweight champ, alone, young money raised me, grew baisley southside jamaica, queens, crazy 'cause i'm still hood, hollywood change shout haters, sorry faze ain't cocky, vindicated best believe done, moment syndicated know, night remind everything deprived (yeah) put drink celebration every time link done everything think greatness brink see nicki minaj liveget ticket low $55you might also like wish could moment life, life, life 'cause moment, feel alive, alive, alive wish could moment life, life, life moment, feel alive, alive, alive tell hoes? bow, bow, bow me, drop knee young money mafia, that's word lil' cease i'm dominican, big papi ortiz target practice, bitch aiming please shout ceo, 500 degreez shout ovo, red wing fatigues, oh nigga wanna friends, coincidental supposed y'all year? ain't get memo young king, pay gold 40 got bunch weed ain't even roll nigga droppin' songs, ain't even cold weezy top, nigga ain't even home yet yeah, afraid rapper gettin' bodied carried away fuck it, nicki nick gettin' married today bitch hatin' catch bouquet, ooh yeah, star eye white girls, party five drinking lil' more? hardly decide can't believe really made it, i'm partly surprised, swear damn, one books, man swear shit fun looks, man i'm really tryna make 'cause everybody dies, everybody lives, ah wish could moment life, life, life 'cause moment, feel alive, alive, alive wish could moment life, life, life moment, feel alive, alive, alive moment waited life, tell time drifting away, i'm one sunset become alive wish could moment life, life, life 'cause moment, feel alive, alive, alive wish could moment life, life, life 'cause moment, feel alive, alive, alive89embed",3153
I Need a Doctor,Dr. Dre,"i'm lose mind gone long i'm runnin' time need doctor, call doctor need doctor, doctor bring back life told world, one day would pay back say tape, lay it, record one day could play back even know believe i'm sayin' doubt startin' creep in, every day, gray black hope, need ray that, 'cause one see vision play 'em, say wack know dope know awake asleep wrote know is, came lowest picked up, breathed new life me, owe life life me, see see like dawned lost son demon fightin' you, dark let turn light brighten enlighten think realize mean slightest clue 'cause like crew, like sidekick gon' either wanna fight get fuckin' mic gon' hug me, i'm outta option there's nothin' else 'cause— might also like i'm lose mind gone long i'm runnin' time need doctor, call doctor need doctor, doctor bring back life hurt see struggle, come idea say they're pieces, i'm puzzled 'cause shit hear crazy either gettin' lazy believe seems like opinions, one form can't make decision, keep questionin' second guessin' almost like beggin' help like i'm leader, supposed fuckin' mentor endure more, demand remember believed everyone tellin' sign me, everyone fuckin' label, let's tell truth risked career me, know well nobody wanted fuck white boy dre, i'm cryin' booth saved life, maybe turn save never repay you, way ain't givin' faith, ain't givin' get up, dre, i'm dyin', need come back, fuck's sake, 'cause— i'm lose mind gone long i'm runnin' time need doctor, call doctor need doctor, doctor bring back life bring back life bring back life need doctor, doctor bring back life literally feel like lifetime ago still remember shit like yesterday, though walked in, yellow jump suit, whole room, cracked joke got inside booth, told you, mic smoke went friends, put on, left said ridin' death fuck now, need them? see none them, see slim fuck fair-weather friends, need fuckin' backstabbers chip down, laughed u 'bout feel fuckin' wrath aftermath, faggot gon' see u lab jacket ask fuck been? kiss indecisive as crack, maggot cracker's ass, little cracker jack beat makin' wack math, backwards producers; i'm back, bastard one cd i'm packin' bag i'm leavin', i'll guarantee they'll scream: ""dre, leave u like that, man"", 'cause— i'm lose mind gone long i'm runnin' outta time need doctor, call doctor need doctor, doctor bring back life153embed",3754
Just a Dream,Nelly,"uh, uh, uh, hey thinking 'bout her, thinking 'bout thinking 'bout us, gon' be? open eyes, yeah dream traveled back, road come back? one know realize, yeah dream top like i'm basement number one spot, found replacement swear can't take knowing somebody's got baby ain't around, baby, can't think shoulda put down, shoulda got ring 'cause still feel air see pretty face, run finger hair lover, life shawty, wife left me, i'm tight 'cause knew ain't right uh, uh, uh, hey thinking 'bout her, thinking 'bout thinking 'bout us, gon' be? open eyes, yeah dream travel back, road come back? one know realize, yeah dream see nelly liveget ticket low $66you might also like riding man swear see face every turn tryna get usher can't let burn hope know one yearn - more, miss her, learn? give love, guess got payback i'm club thinking baby hey, easy love wait, guess love enough i'm going every time i'm alone i'm missing, wishing pick phone made decision wanted move 'cause wrong uh, uh, uh thinking 'bout her, thinking 'bout thinking 'bout us, gon' be? open eyes, yeah dream travel back, road come back? one know realize, yeah dream ever loved somebody, put hand ever loved somebody, put hand they're gone wishing could give everything everything (hey) said ever loved somebody, put hand ever loved somebody, put hand they're gone wishing could give everything uh, uh, uh thinking 'bout her, thinking 'bout thinking 'bout us, gon' be? open eyes, yeah dream travel back, road come back? one know realize, yeah dream uh, uh, uh thinking 'bout her, thinking 'bout thinking 'bout us, gon' be? open eyes, yeah dream travel back, road come back? one know realize, yeah dream50embed",2634
Motivation,Kelly Rowland,"go, go, go, go (turn light on) oh lover, dare slow go longer, last round push harder, almost go lover, make momma proud (turn light on) (and we're done) wanna feel leg (and we're done) wanna feel hand me, baby can't stop there, music still playin' background almost (you it, believe you, baby) close baby, i'mma motivation (uh-huh, yeah) go, go, go, go motivation go, go, go, go uh, girl turn thing rainforest rain head, call brainstorming yeah deep, oh, go deeper m-make lose yourself, finder keeper go green light, go weezy go like taste sugar, sweet low hold wait, new position put plate dish motivation, i'm transportation 'cause let ride, drive crazy keep going going, like i'm racing i'm done hold like conversation weezy, baby might also like can't stop there, music still playin' background almost (you it, believe you, baby) close oh lover, call name other, same, let get game, go lover, go 'n make rain (and we're done) wanna feel leg (and we're done) wanna feel hand me, baby can't stop there, music still playin' background almost it, believe you, baby close baby, i'mma motivation18embed",1675
Stereo Love,Edward Maya,"gonna stop breaking heart? wanna another one praying thing never done let go, let go, don't, love get soul? get flow? promise let go? thing need thing need make feel real 'cause can't deny, blown mind touch body, feel i'm losing control 'cause can't deny, blown mind see you, baby, wanna let go hate see cry, smile beautiful lie hate see cry, love dying inside fix lie oh, baby, babe, run, love, i'm running see cry, i'm hiding inside heart pain, i'm smiling might also like get soul? get flow? promise let go? thing need thing need make feel real 'cause can't deny, blown mind touch body, feel i'm losing control 'cause can't deny, blown mind see you, baby, wanna let go gonna stop breaking heart? let go, let go love hate see cry, smile beautiful lie hate see cry, love dying inside hate see cry, love dying inside seen smiling, i'm dying tonight fix lie oh, baby, babe, run, love, i'm running see cry, i'm hiding inside heart pain, i'm smiling oh, baby, i'll try make thing right need air i'm please ask why, kiss time dream i18embed",1743
Jar of Hearts,Christina Perri,"know can't take one step towards 'cause that's waiting regret know i'm ghost anymore? lost love love learned live half-alive want one time think runnin' 'round leaving scar collecting jar heart tearing love apart? gonna catch cold ice inside soul come back think are? hear asking around anywhere found grown strong ever fall back arm might also like i've learned live half-alive want one time think runnin' 'round leaving scar collecting jar heart tearing love apart? gonna catch cold ice inside soul come back think are? dear, took long feel alright remember put back light eye wish missed first time kissed 'cause broke promise back get get back think runnin' 'round leavin' scar collecting jar heart tearing love apart? gonna catch cold ice inside soul come back come back think runnin' 'round leaving scar collecting jar heart tearing love apart? gonna catch cold ice inside soul come back come back think are? think are? think are?71embed",1618
Roll Up,Wiz Khalifa,"roll roll roll shawty roll roll roll anniversary man ain't acting right packin’ damier luggage callin’ cell phone, try catch flight know one thing straight, i’ll girl whenever call home that's man, soon land say that's shit ain't g more, ain't entertained since met couple month ago ain't sayin i’m richest man alive i’m game long keep 100 i'mma spend change whenever need whenever want know call me, i’ll shortly don’t care friend say, cause know best friend, homie ain't gonna flex, i’m gonna front know ball, gonna stunt send way, ain't gotta hold whenever call baby roll up, roll up, roll whenever call baby roll up, roll up, roll whenever call baby roll see wiz khalifa liveget ticket low $245you might also like try stay business real, you’re obvious keep fitting plan fuckin' up, man's gonna catch onto u white sand surrounding u handcuffing, work officer rolling got spot put medical, send home doctored wanna ride cause say boring wake rollin’ weed, cooking egg morning ain't scared spend money know i’ll make first sky, say orbit whenever need whenever want know call me, i’ll shortly don’t care friend say, cause know best friend, homie ain't gonna flex, i’m gonna front know ball, gonna stunt send way, ain't gotta hold whenever call baby roll up, roll up, roll whenever call baby roll up, roll up, roll whenever call baby roll matter matter i’ll baby cause start matter i’m near don’t matter far pick phone lady i’ll call whenever need whenever want know call me, i’ll shortly don’t care friend say, cause know best friend, homie ain't gonna flex, i’m gonna front know ball, gonna stunt send way, ain't gotta hold whenever call baby roll whenever need whenever want know call me, i’ll shortly don’t care friend say, cause know best friend, homie ain't gonna flex, i’m gonna front know ball, gonna stunt send way, ain't gotta hold whenever call baby roll up, roll up, roll whenever call baby roll up, roll up, roll whenever call baby roll roll up, roll whenever call baby roll up44embed",3241
Sexy and I Know It,LMFAO,"yeah, yeah walk by, girl looking like, ""damn, fly"" pimp beat, walking street new lafreak yeah, roll, animal print, pant outta control redfoo big afro like bruce leroy, got glow, yeah (ah) girl, look body (ah) girl, look body (ah) girl, look body (ah) i-i-i work (ah) girl, look body (ah) girl, look body (ah) girl, look body (ah) i-i-i work walk spot (yeah) see (okay) everybody stop staring got passion pant ain't afraid show show it, show it, show i'm sexy know i'm sexy know might also like yeah i'm mall, security can't fight 'em i'm beach, i'm speedo trying tan cheek (what) roll, come on, ladies, time go headed bar, baby, nervous shoes, shirt, still get service, watch (ah) girl, look body (ah) girl, look body (ah) girl, look body (ah) i-i-i work (ah) girl, look body (ah) girl, look body (ah) girl, look body i-i-i work walk spot (yeah) see (okay) everybody stop staring got passion pant ain't afraid show show it, show it, show i'm sexy know (ay) i'm sexy know check out, check wiggle, wiggle, wiggle, wiggle, wiggle, yeah wiggle, wiggle, wiggle, wiggle, wiggle, yeah wiggle, wiggle, wiggle, wiggle, wiggle, yeah wiggle, wiggle, wiggle, wig-, yeah, yeah wiggle, man wiggle, man yeah, i'm sexy know ay, yeah (ah) girl, look body (ah) girl, look body (ah) girl, look body (ah) i-i-i work (ah) girl, look body (ah) girl, look body (ah) girl, look body (ah) i-i-i work i'm sexy know it26embed",1972
Rocketeer,Far East Movement,"go, come there's world see take hand, close eye right here, i'm rocketeer let's fly (fly, fly, fly, fly) up, go, go up, go, go let's fly (fly, fly, fly, fly) up, go, go stop nobody knows, know go need road (roads) stop nobody know (knows) star really want got got jetpack name cloud atmosphere ('phere) say word (outta here) hold hand feeling scared (scared) flying baby stay fly like g6 shop street tokyo, get fly kick girl always mind, got head sky i'm never looking feeling priceless (yeah) at, known go next level, super mario hope work out, cardio til' let's fly, geronimo might also like never space never seen face like make feel like could touch planet want moon girl watch grab see ain't never seen star close got stuck way glow i'm like, oh, oh, oh, oh i'm like, oh, oh, oh, oh 14embed",1245
Hold It Against Me,Britney Spears,"hey, please forgive i'm coming strong hate stare, winning they're playing favorite song come here, little closer wanna whisper ear make clear, little question wanna know feel said heart beating loud could escape crowd somehow said want body now, would hold me? 'cause feel like paradise, need vacation tonight so, said want body now, would hold me? hey, might think i'm crazy know i'm type might little hazy cannot deny there's spark in-between u we're dancing floor want more, wanna see so, i'm asking tonight might also like said heart beating loud could escape crowd somehow said want body now, would hold me? 'cause feel like paradise, need vacation tonight so, said want body now, would hold me? said want body, would hold me? give something good wanna wait, want (na-na-na-now) drop it, like hood show work alright said heart beating loud said want body now, would hold me? said heart beating loud could escape crowd somehow said want body now, would hold me? 'cause feel like paradise, need vacation tonight so, said want body now, would hold me?204embed",1592
More,Usher,"watch dance spotlight listen people screaming more, 'cause create feeling keep coming back yeah, create feeling keep coming back captivating get floor know y'all patiently waiting, know need me, feel i'm beast, i'm animal, i'm monster mirror headliner, finisher, i'm closer, winner best pressure second left, show really want more, scream louder floor, bring fire light up, take higher gonna push limit, give really want more, scream louder floor, bring fire light up, take higher gonna push limit, give get hands, i'm zone, s'aite put em air, more, 'cause can't wait feel go hard, can't stop stop, know i'ma bring back never quitting, believe see usher liveget ticket low $57you might also like know y'all patiently waiting, know need me, feel i'm beast, i'm animal, i'm monster mirror headliner, finisher, i'm closer, winner best pressure second left, show really want more, scream louder floor, bring fire light up, take higher gonna push limit, give really want more, scream louder floor, bring fire light up, take higher gonna push limit, give oh, oh oh, gonna push limit, give oh, oh oh, gonna push limit, give really want more, scream louder floor, bring fire light up, take higher gonna push limit, give really want more, scream louder floor, bring fire light up, take higher gonna push limit, give oh, oh oh, gonna push limit, give more6embed",2126
What the Hell,Avril Lavigne,"say i'm messin' head (yeah, yeah, yeah, yeah) 'cause makin' friend (yeah, yeah, yeah, yeah) love hurts, whether right wrong (yeah, yeah, yeah, yeah) can't stop 'cause i'm havin' much fun (yeah, yeah, yeah, yeah) knees, begging, ""please stay me"" but, honestly, need little crazy life, i've good, i'm thinking, ""what hell?"" want mess around really care love me, hate can't save me, baby, baby life, i've good, woah, hell? what? what? what? hell? see avril lavigne liveget ticket low $535you might also like so, go million dates? (yeah, yeah, yeah, yeah) never call listen anyway, yeah (yeah, yeah, yeah, yeah) i'd rather rage sit around wait day (yeah, yeah, yeah, yeah) get wrong, need time play eeh, yeah knee (yeah), begging, ""please (please) stay me"" but, honestly (yeah), need little crazy (crazy) life, i've good, i'm thinking, ""what hell?"" want mess around really care love me, hate can't save me, baby, baby life, i've good, woah, hell? la-la-la, la-la-la, la-la ooh, woah, ooh, woah la-la-la, la-la-la, la-la ooh, woah, ooh, woah say i'm messin' head (la-la-la, la-la-la, la-la) boy, like messin' bed (la-la-la, la-la-la, la-la) yeah, messin' head i'm messin' bed life, i've good, i'm thinking, ""what hell?"" (what hell?) want mess around really care (i care about) life, i've good, i'm thinking, ""what hell?"" want mess around really care (if love me) love (no), hate (no) can't save me, baby, baby (if love me) life, i've good, woah, hell? la, la, la-la-la-la-la-la-la la, la-la-la-la-la-la-la30embed",2177
Written in the Stars,Tinie Tempah,"oh, written star million mile away message main, oh season come go never change i'm way (let's go!) yeah, listenin' say ain't heard nothin' like that's play song many different dial 'cause got fuckin' hit disciplined child see everybody brrrap, brrraps man i’m like young gun fully black barack cried teardrop massive attack make hit like work racquet bat look jacket hat, damn berserk earth, i'm bringin' gravity back adopted major, want family back people work hard get salary taxed look, i'm writer ghetto like malorie blackman (where hell's sanity at?) damn used kid one cared that's keep screamin' 'til hear might also like oh, written star million mile away, message main, oh season come go, never change i'm way oh, oh, oh, oh (oh) oh, oh, oh, oh (oh) oh, oh, oh, oh (oh) oh, oh, oh, oh (oh) oh, oh, oh, oh (oh) oh, oh, oh, oh (oh) oh, oh, oh, oh (oh) oh, oh, oh, oh (oh) yeah, needed change, ate, never tipped needed change, needed break sec, even gave believing praying even done illegal stuff leaded astray say money root evilest way ever hungry, keep awake? mate, hunger would leave amazed, great feel like long time coming, fam since day thought cunning plan one day dream, tried chase going nowhere, running man knew maybe someday would understand tryna change tenner hundred grand everyone's kid one care gotta keep screaming 'til hear oh, written star million mile away, message main, oh season come go, never change i'm way oh, oh, oh, oh (oh) oh, oh, oh, oh (oh) oh, oh, oh, oh (oh) oh, oh, oh, oh (oh) oh, oh, oh, oh (ishi) oh, oh, oh, oh (eric turner) oh, oh, oh, oh (let's go) oh, written star million mile away, message main, oh season come go, never change i'm way27embed",2386
Bottoms Up,Trey Songz,"yeah (kane building, nigga) mr. steal yo girl mr. steal yo girl leggo bottom up, bottom up, ayy, what's ya cup? got couple bottles, couple ain't enough bottom up, bottom up, throw hand tell security 'bout tear club bottom up, bottom up, pocket full green girl, know love way shake jean bottom up, bottom up, throw ya hand bottom up, bottom up, bottom up, up, know is, girl, back thang money stay pocket, girl, i'm like walkin' bank tell whatcha drank, tell whatcha thank go get bottles, go alcohol insane callin' girls, hear me? around world, city city cheer girls, throw deuce guy got chicken goose ride gettin' loose ride hatin' as nigga move the, move the, move side see trey songz liveget ticket low $228you might also like bottom up, bottom up, ayy, what's ya cup? got couple bottles, couple ain't enough bottom up, bottom up, throw hand tell security 'bout tear club bottom up, bottom up, pocket full green girl, know love way shake jean bottom up, bottom up, throw ya hand bottom up, bottom up, bottom up, up, vision's blurred, word slurred jam-packed, million girl ain't tryna leave, though drunk let alcohol hero callin' girls, hear me? around world, city city cheer girls, throw deuce guy got chicken goose ride gettin' loose ride hatin' as nigga move move move side bottom up, bottom up, ayy, what's ya cup? got couple bottles, couple ain't enough bottom up, bottom up, throw hand tell security 'bout tear club bottom up, bottom up, pocket full green girl, know love way shake jean bottom up, bottom (uh-huh), throw ya hand (uh) bottom up, bottom (uh), bottom up, up, (yo) could get 'trón? could get remy? could get coke? could get henny? could get margarita rock-rock-rocks? could get salt around rim, rim, rim, rim? trey, like, ""yo, trey think could buy bottle rosé?"" okay, let's get i'm bad bitch, he's friend say, ""hi"", say, ""keys benz"" key benz? key benz motherfuckin' right, yeah, v 10 bitch tryna get cute i'ma stomp throw lot money yell, ""fuck her! fuck her! fuck her!"" yell, ""fuck her!"" i'ma go get louisville slugger excuse me, i'm sorry, i'm really lady rep young money, know, slim, baby? donut wavin' .380 give lot money baby haiti yellin', ""all around world hear me?"", ""do like body? anna nicki"" rest peace anna nicole smith yes, dear, explosive say, ""hi"" mary, mary joseph now, bottom double dosage bottom up, bottom up, ayy, what's ya cup? got couple bottles, couple ain't enough bottom up, bottom up, throw hand tell security 'bout tear club bottom up, bottom up, pocket full green girl, know love way shake jean i'm drunk, i'm, i'm, i'm, i'm bottom up, bottom up, throw ya hand (i'm beat) bottom up, bottom up, bottom up, up, i'm, i'm, i'm, i'm good, i'm good trigga trey, nicki m., let's get bottom (c'mere!), bottom up, bottom i-i-i-i zolanski (bottoms up) i'm roman (bottoms up) yeah30embed",3822
